id,name,description,category,style_tags,occasions,pairing_suggestions
1,Red Cropped Blazer,A sharp red cropped blazer with padded shoulders. Best for smart-casual and going-out outfits.,Blazer,#chic #smartcasual #nightout #red #statement,"Dinner, Parties, Casual Workdays","High-waist jeans, White tank top"
2,High-Waist Wide Jeans,"Light blue denim, relaxed wide leg. Everyday comfort with a 90s vibe.",Jeans,#denim #90s #casual #relaxed #streetwear,"Everyday, College, Coffee Runs","Cropped blazer, Basic tank tops"
3,White Ribbed Tank,Minimal white ribbed tank top. A layering basic that complements bold blazers and wide jeans.,Tank Top,#minimal #capsule #basic #layering #summer,"Layering, Casual Days, Travel","Red cropped blazer, Wide jeans"
4,Black Leather Mini Skirt,Classic black leather mini skirt with a high waist. Adds edge to night-out and streetwear looks.,Skirt,#leather #edgy #nightout #minimal #streetwear,"Clubbing, Concerts, Dinner Nights","White ribbed tank, Oversized blazer"
5,Beige Oversized Trench,Timeless beige oversized trench coat with belt tie. Ideal layering piece.,Coat,#timeless #classic #layering #streetstyle #neutral,"Rainy Days, Work, Travel","Wide jeans, White tank, Sneakers"
6,Chunky White Sneakers,White chunky sneakers with cushioned sole. Everyday comfort with a sporty edge.,Sneakers,#sporty #casual #streetwear #comfy #90s,"Walking, Campus, Weekend Outings","Wide jeans, Tank tops, Hoodies"
7,Striped Button-Up Shirt,Blue and white striped cotton button-up with relaxed fit.,Shirt,#preppy #casual #office #lightweight #classic,"Work, Casual Days, Brunch","Wide jeans, Loafers, Trench coat"
8,Cropped Graphic Tee,Black cropped t-shirt with vintage band print.,T-Shirt,#vintage #streetwear #casual #cropped #retro,"Concerts, Hangouts, Festivals","Wide jeans, Leather mini skirt, Sneakers"
9,Floral Midi Dress,Flowy midi dress with pastel floral prints and puff sleeves.,Dress,#feminine #spring #romantic #casual #vintage,"Picnics, Garden Parties, Dates","Denim jacket, Sandals, Tote bag"
10,Black Turtleneck,Slim-fit black turtleneck knit top.,Top,#minimal #classic #layering #chic #autumn,"Work, Dinner, Everyday","Wide jeans, Blazers, Skirts"
11,Beige Knit Cardigan,Chunky knit cardigan with front buttons and soft beige tone.,Cardigan,#cozy #neutral #layering #casual #soft,"Winter, Campus, Lounge","Tank top, Jeans, Sneakers"
12,Denim Jacket,Classic light-wash denim jacket with silver buttons.,Jacket,#denim #classic #casual #layering #streetwear,"Everyday, Travel, Spring","Tank tops, Dresses, Skirts"
13,Olive Cargo Pants,High-waist olive cargo pants with utility pockets.,Pants,#utility #streetwear #casual #relaxed #trendy,"Casual Days, Travel, Outdoor Activities","Tank tops, Cropped tees, Sneakers"
14,Black Slip Dress,Satin black slip dress with adjustable straps.,Dress,#elegant #minimal #nightout #classic #sexy,"Parties, Dinner Dates, Cocktails","Heels, Blazers, Statement jewelry"
15,White Oversized Hoodie,Cozy oversized hoodie in soft white cotton fleece.,Hoodie,#casual #comfy #streetwear #layering #sporty,"Campus, Chill Days, Travel","Leggings, Cargo pants, Sneakers"
16,Beige Wide-Leg Trousers,Tailored beige trousers with pleats and wide leg cut.,Trousers,#chic #formal #workwear #neutral #classic,"Work, Presentations, Dinner","Blazers, Shirts, Loafers"
17,Black Chelsea Boots,Polished black leather Chelsea boots with elastic sides.,Boots,#classic #fall #streetstyle #leather #minimal,"Work, Travel, Autumn Days","Jeans, Trench coat, Knit sweaters"
18,Tan Crossbody Bag,Minimal tan leather crossbody bag with gold hardware.,Bag,#minimal #neutral #classic #versatile #casual,"Travel, Shopping, Everyday","Dresses, Trench coat, Jeans"
19,Patterned Silk Scarf,Multicolored silk scarf with abstract pattern.,Scarf,#accessory #silk #chic #colorful #vintage,"Work, Travel, Casual Outings","Blazers, Shirts, Dresses"
20,Beige Baseball Cap,Beige cotton cap with adjustable strap at the back.,Cap,#casual #streetwear #sporty #minimal #neutral,"Campus, Outdoor, Travel","Hoodies, Jeans, Sneakers"
21,Gold Hoop Earrings,Medium-sized gold hoops with polished finish.,Jewelry,#minimal #classic #chic #accessory #timeless,"Everyday, Dinner, Parties","Slip dress, Blazer, Blouses"
22,Black Leather Belt,Slim black belt with silver buckle.,Accessory,#minimal #classic #versatile #leather #timeless,"Work, Everyday, Casual","Jeans, Dresses, Trousers"
23,Chunky Knit Scarf,Oversized chunky knit scarf in cream color.,Scarf,#cozy #winter #layering #neutral #soft,"Winter, Travel, Outdoor","Coats, Hoodies, Sweaters"
24,Beige Wool Beanie,Simple beige wool knit beanie with stretch fit.,Hat,#winter #cozy #casual #neutral #minimal,"Winter, Campus, Casual Days","Hoodies, Puffers, Cargo pants"
25,Black Puffer Jacket,Oversized black puffer jacket with high collar.,Jacket,#streetwear #winter #cozy #layering #sporty,"Winter, Travel, Outdoor","Jeans, Hoodies, Sneakers"
26,White Maxi Skirt,Flowy white cotton maxi skirt with tiered layers.,Skirt,#boho #summer #casual #flowy #romantic,"Beach Days, Picnics, Travel","Tank tops, Crop tops, Sandals"
27,Gray Wool Blazer,Tailored gray blazer with structured shoulders.,Blazer,#formal #workwear #classic #chic #neutral,"Work, Presentations, Dinners","Trousers, Shirts, Loafers"
